# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma                            20 15-2-3     [53.1,88.8]    64.4%   [59.7,69.3]    39.4%   25.1%   5.0%   0.0%   0.0% 0.69/0.78 1.60 3.60     +4.3   110   6.4%  1.89
local                             20 20-0-0    [83.9,100.0]    47.5%   [43.8,51.4]    44.5%    3.0%  25.0%  10.0%   0.0% 0.33/0.52 0.20 0.00     +7.6    84  26.9%  0.46
local_open                        20 20-0-0    [83.9,100.0]    50.7%   [47.2,54.1]    38.7%   12.0%   5.0%   5.0%   0.0% 0.45/0.64 0.35 1.95     +7.7    82  19.1%  1.73

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma|strategy:human|B           10  7-2-1     [39.7,89.2]    65.7%   [58.0,73.9]    42.8%   22.9%  10.0%   0.0%   0.0% 0.64/0.75 1.30 2.30     +4.3    90   8.7%  1.82
enigma|strategy:human|W           10  8-0-2     [49.0,94.3]    63.2%   [57.6,68.5]    36.0%   27.2%   0.0%   0.0%   0.0% 0.73/0.81 1.90 4.90     +4.2   114   4.0%  1.90
local_open|strategy:human|B       10 10-0-0    [72.2,100.0]    52.2%   [47.8,56.7]    36.8%   15.4%   0.0%   0.0%   0.0% 0.32/0.57 0.10 1.10     +7.7    82  19.2%  1.60
local_open|strategy:human|W       10 10-0-0    [72.2,100.0]    49.2%   [43.9,54.2]    40.6%    8.6%  10.0%  10.0%   0.0% 0.58/0.70 0.60 2.80     +7.2    87  19.1%  1.77
local|strategy:human|B            10 10-0-0    [72.2,100.0]    49.2%   [45.3,53.7]    47.5%    1.7%  30.0%   0.0%   0.0% 0.30/0.54 0.10 0.00     +7.6    83  24.9%  0.50
local|strategy:human|W            10 10-0-0    [72.2,100.0]    45.9%   [39.9,51.9]    41.5%    4.4%  20.0%  20.0%   0.0% 0.36/0.50 0.30 0.00     +7.6    87  29.4%  0.45

## own top1 by bin (pooled)
enigma: all=65.8% gui_opening=44.8% gui_middle=66.5% gui_endgame=76.9% cal_opening=44.8% cal_middle=67.6% cal_endgame=80.5%
local: all=48.0% gui_opening=48.3% gui_middle=49.4% gui_endgame=45.1% cal_opening=48.3% cal_middle=46.8% cal_endgame=53.3%
local_open: all=51.7% gui_opening=43.5% gui_middle=57.9% gui_endgame=48.3% cal_opening=43.5% cal_middle=53.8% cal_endgame=60.0%

## paired diff local_open - local (same seed; conf 0.975)
own_top1         n= 20 mean=+0.0320 t=-0.0260..+0.0900 boot=-0.0187..+0.0837 wilcoxon_p=0.2101 verdict(+-3pt)=extend
opp_top1         n= 20 mean=-0.0578 t=-0.1267..+0.0110 boot=-0.1160..+0.0065 wilcoxon_p=0.0362 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=+0.0898 t=+0.0256..+0.1540 boot=+0.0330..+0.1460 wilcoxon_p=0.0056 verdict(+-3pt)=extend
flip_moves       n= 20 mean=+1.9500 t=+0.9286..+2.9714 boot=+1.1000..+2.9000 wilcoxon_p=0.0006 verdict(+-3pt)=-
win              n= 20 mean=+0.0000 t=+0.0000..+0.0000 boot=+0.0000..+0.0000 wilcoxon_p=- verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=+0.1218 t=-0.0219..+0.2656 boot=-0.0063..+0.2513 wilcoxon_p=0.0826 verdict(+-3pt)=-
ge6              n= 20 mean=+0.1500 t=-0.2150..+0.5150 boot=-0.1500..+0.5000 wilcoxon_p=0.3173 verdict(+-3pt)=-
