# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
local                             20 18-2-0     [69.9,97.2]    62.7%   [59.3,66.0]    40.5%   22.2%   0.0%   0.0%   0.0% 0.32/0.55 0.35 0.25     +6.0    82  27.3%  0.39
local_open                        20 18-2-0     [69.9,97.2]    62.3%   [58.2,66.4]    45.4%   16.8%  20.0%   0.0%   0.0% 0.33/0.55 0.20 0.40     +4.3    84  27.2%  0.59

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
local_open|strategy:human|B       10  9-1-0     [59.6,98.2]    60.7%   [55.8,65.9]    46.0%   14.7%  20.0%   0.0%   0.0% 0.39/0.62 0.10 0.30     +4.0    84  24.2%  0.63
local_open|strategy:human|W       10  9-1-0     [59.6,98.2]    63.8%   [57.3,69.9]    44.9%   19.0%  20.0%   0.0%   0.0% 0.27/0.48 0.30 0.50     +5.0   101  30.5%  0.54
local|strategy:human|B            10  9-1-0     [59.6,98.2]    64.8%   [60.3,69.2]    38.0%   26.8%   0.0%   0.0%   0.0% 0.31/0.56 0.20 0.30     +5.5    82  24.2%  0.40
local|strategy:human|W            10  9-1-0     [59.6,98.2]    60.6%   [55.9,65.3]    43.0%   17.6%   0.0%   0.0%   0.0% 0.33/0.53 0.50 0.20     +6.0    87  29.0%  0.37

## own top1 by bin (pooled)
local: all=61.5% gui_opening=72.6% gui_middle=63.2% gui_endgame=48.4% cal_opening=72.6% cal_middle=57.8% cal_endgame=57.4%
local_open: all=61.8% gui_opening=67.4% gui_middle=65.6% gui_endgame=50.8% cal_opening=67.4% cal_middle=61.9% cal_endgame=51.9%

## paired diff local - local_open (same seed; conf 0.975)
own_top1         n= 20 mean=+0.0043 t=-0.0514..+0.0599 boot=-0.0450..+0.0561 wilcoxon_p=0.9854 verdict(+-3pt)=extend
opp_top1         n= 20 mean=-0.0491 t=-0.1067..+0.0084 boot=-0.1005..+0.0035 wilcoxon_p=0.0441 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=+0.0534 t=-0.0238..+0.1307 boot=-0.0169..+0.1229 wilcoxon_p=0.0897 verdict(+-3pt)=extend
flip_moves       n= 20 mean=-0.1500 t=-0.5555..+0.2555 boot=-0.5500..+0.2000 wilcoxon_p=0.3657 verdict(+-3pt)=-
win              n= 20 mean=+0.0000 t=-0.1765..+0.1765 boot=-0.1500..+0.1500 wilcoxon_p=1.0000 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.0114 t=-0.1439..+0.1212 boot=-0.1362..+0.1024 wilcoxon_p=0.8408 verdict(+-3pt)=-
ge6              n= 20 mean=+0.1500 t=-0.3578..+0.6578 boot=-0.3500..+0.5500 wilcoxon_p=0.2482 verdict(+-3pt)=-
