# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
default                           20 20-0-0    [83.9,100.0]    70.5%   [67.1,74.0]    43.1%   27.4%   0.0%   0.0%   0.0% 0.12/0.51 0.00 0.20     +9.4    82  28.7%  0.60
enigma                            20 17-2-1     [64.0,94.8]    72.6%   [69.5,75.7]    41.9%   30.8%   0.0%   0.0%   0.0% 0.54/0.72 1.30 2.35     +4.5   104   5.7%  2.86

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
default|strategy:human|B          10 10-0-0    [72.2,100.0]    68.7%   [63.8,73.2]    40.5%   28.2%   0.0%   0.0%   0.0% 0.18/0.66 0.00 0.00    +14.6    82  26.7%  0.63
default|strategy:human|W          10 10-0-0    [72.2,100.0]    72.4%   [67.8,77.3]    45.8%   26.6%   0.0%   0.0%   0.0% 0.07/0.36 0.00 0.40     +7.8    87  29.6%  0.57
enigma|strategy:human|B           10  8-2-0     [49.0,94.3]    75.0%   [71.8,78.8]    44.5%   30.5%   0.0%   0.0%   0.0% 0.53/0.69 1.50 2.40     +3.4   103   6.9%  2.66
enigma|strategy:human|W           10  9-0-1     [59.6,98.2]    70.2%   [65.8,75.0]    39.2%   31.0%   0.0%   0.0%   0.0% 0.56/0.75 1.10 2.30     +5.3   106   5.0%  2.94

## own top1 by bin (pooled)
default: all=69.2% gui_opening=77.0% gui_middle=75.0% gui_endgame=48.3% cal_opening=77.0% cal_middle=68.9% cal_endgame=49.4%
enigma: all=73.1% gui_opening=70.0% gui_middle=69.3% gui_endgame=79.0% cal_opening=70.0% cal_middle=70.8% cal_endgame=81.9%

## paired diff default - enigma (same seed; conf 0.95)
own_top1         n= 20 mean=-0.0209 t=-0.0802..+0.0384 boot=-0.0762..+0.0312 wilcoxon_p=0.7381 verdict(+-3pt)=extend
opp_top1         n= 20 mean=+0.0127 t=-0.0421..+0.0675 boot=-0.0391..+0.0626 wilcoxon_p=0.5412 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.0336 t=-0.0953..+0.0281 boot=-0.0893..+0.0229 wilcoxon_p=0.3118 verdict(+-3pt)=extend
flip_moves       n= 20 mean=-2.1500 t=-2.9134..-1.3866 boot=-2.8500..-1.4500 wilcoxon_p=0.0004 verdict(+-3pt)=-
win              n= 20 mean=+0.1500 t=-0.0215..+0.3215 boot=+0.0000..+0.3000 wilcoxon_p=0.0833 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.4209 t=-0.5990..-0.2428 boot=-0.5847..-0.2598 wilcoxon_p=0.0002 verdict(+-3pt)=-
ge6              n= 20 mean=-1.3000 t=-1.8900..-0.7100 boot=-1.8500..-0.8000 wilcoxon_p=0.0008 verdict(+-3pt)=-
