# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
calib                             40 37-2-1     [80.1,97.4]    65.7%   [62.2,69.2]    32.1%   33.7%   2.5%   5.0%   0.0% 0.63/1.33 0.60 1.80    +15.4    55      -  1.85

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
calib|rank_1d|B                    4  4-0-0    [51.0,100.0]    69.1%   [56.9,81.2]    26.4%   42.7%   0.0%   0.0%   0.0% 0.91/1.97 1.00 0.75    +21.6    52      -  1.75
calib|rank_1d|W                    4  4-0-0    [51.0,100.0]    55.7%   [40.7,70.8]    24.5%   31.3%   0.0%  25.0%   0.0% 0.81/1.27 0.50 1.75    +13.1    53      -  2.25
calib|rank_3d|B                    4  4-0-0    [51.0,100.0]    69.6%   [67.9,72.0]    32.3%   37.3%   0.0%   0.0%   0.0% 0.56/0.96 0.50 1.50     +5.2    52      -  1.72
calib|rank_3d|W                    4  4-0-0    [51.0,100.0]    64.7%   [60.0,69.4]    29.5%   35.2%   0.0%   0.0%   0.0% 0.59/1.42 0.50 2.25    +22.4    46      -  1.48
calib|rank_5d|B                    4  3-1-0     [30.1,95.4]    68.6%   [65.5,72.9]    32.5%   36.0%   0.0%   0.0%   0.0% 0.79/1.49 1.00 0.75    +20.4    56      -  1.39
calib|rank_5d|W                    4  4-0-0    [51.0,100.0]    58.1%   [45.7,70.4]    29.9%   28.1%  25.0%  25.0%   0.0% 0.62/1.26 0.50 2.50    +11.0    45      -  1.98
calib|rank_7d|B                    4  3-0-1     [30.1,95.4]    67.5%   [62.0,72.9]    40.1%   27.4%   0.0%   0.0%   0.0% 0.41/0.63 0.25 1.25     +2.7    49      -  1.21
calib|rank_7d|W                    4  4-0-0    [51.0,100.0]    69.1%   [56.9,81.2]    29.4%   39.7%   0.0%   0.0%   0.0% 0.77/1.37 1.00 2.75     +7.7    59      -  2.23
calib|rank_9d|B                    4  3-1-0     [30.1,95.4]    69.1%   [58.6,80.9]    47.3%   21.8%   0.0%   0.0%   0.0% 0.35/1.53 0.25 1.50    +42.4    62      -  1.66
calib|rank_9d|W                    4  4-0-0    [51.0,100.0]    65.8%   [56.8,75.2]    28.7%   37.0%   0.0%   0.0%   0.0% 0.53/1.38 0.50 3.00    +21.7    53      -  1.55

## own top1 by bin (pooled)
calib: all=66.3% gui_opening=49.1% gui_middle=68.8% gui_endgame=72.1% cal_opening=49.1% cal_middle=71.8% cal_endgame=68.5%
