# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma                            20 13-4-3     [43.3,81.9]    73.0%   [69.2,77.1]    51.4%   21.6%   5.0%   0.0%   0.0% 0.30/0.42 0.05 1.45     +2.3    51   6.8%  1.13
layers                            20 18-0-2     [69.9,97.2]    58.8%   [53.7,64.1]    57.0%    1.8%  40.0%  10.0%   0.0% 0.19/0.38 0.05 0.10     +3.8    50  29.9%  0.38
open                              20 14-3-3     [48.1,85.5]    66.7%   [61.6,71.8]    55.2%   11.5%  20.0%   5.0%   0.0% 0.22/0.29 0.05 0.90     +2.0    57  19.9%  0.47

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma|strategy:human|B           10  7-2-1     [39.7,89.2]    75.4%   [70.7,80.3]    53.1%   22.3%   0.0%   0.0%   0.0% 0.24/0.39 0.10 0.40     +2.0    54   6.1%  1.16
enigma|strategy:human|W           10  6-2-2     [31.3,83.2]    70.7%   [65.2,76.7]    49.8%   21.0%  10.0%   0.0%   0.0% 0.36/0.44 0.00 2.50     +2.9    51   8.7%  1.10
layers|strategy:human|B           10  8-0-2     [49.0,94.3]    55.6%   [48.9,61.5]    60.8%   -5.3%  50.0%  10.0%   0.0% 0.22/0.44 0.10 0.20     +4.5    54  29.1%  0.43
layers|strategy:human|W           10 10-0-0    [72.2,100.0]    62.1%   [54.4,70.0]    53.2%    9.0%  30.0%  10.0%   0.0% 0.16/0.32 0.00 0.00     +3.8    44  31.5%  0.35
open|strategy:human|B             10  7-1-2     [39.7,89.2]    68.9%   [62.0,76.2]    54.7%   14.2%  20.0%   0.0%   0.0% 0.18/0.25 0.10 0.30     +2.0    62  21.1%  0.36
open|strategy:human|W             10  7-2-1     [39.7,89.2]    64.5%   [57.1,71.7]    55.7%    8.8%  20.0%  10.0%   0.0% 0.26/0.32 0.00 1.50     +2.7    53  19.2%  0.74

## own top1 by bin (pooled)
enigma: all=74.0% gui_opening=52.7% gui_middle=79.4% gui_endgame=79.1% cal_opening=52.7% cal_middle=81.0% cal_endgame=76.1%
layers: all=58.8% gui_opening=57.3% gui_middle=59.8% gui_endgame=58.7% cal_opening=57.3% cal_middle=58.6% cal_endgame=61.2%
open: all=68.0% gui_opening=50.0% gui_middle=75.6% gui_endgame=69.5% cal_opening=50.0% cal_middle=72.0% cal_endgame=72.8%

## paired diff layers - open (same seed; conf 0.975)
own_top1         n= 20 mean=-0.0786 t=-0.1815..+0.0242 boot=-0.1668..+0.0180 wilcoxon_p=0.0728 verdict(+-3pt)=extend
opp_top1         n= 20 mean=+0.0181 t=-0.0449..+0.0811 boot=-0.0382..+0.0761 wilcoxon_p=0.5678 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.0967 t=-0.2133..+0.0199 boot=-0.1954..+0.0121 wilcoxon_p=0.0160 verdict(+-3pt)=extend
flip_moves       n= 20 mean=-0.8000 t=-1.3470..-0.2530 boot=-1.3000..-0.3000 wilcoxon_p=0.0043 verdict(+-3pt)=-
win              n= 20 mean=+0.2000 t=-0.0847..+0.4847 boot=-0.0500..+0.4500 wilcoxon_p=0.1025 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.0273 t=-0.1508..+0.0961 boot=-0.1419..+0.0806 wilcoxon_p=0.5958 verdict(+-3pt)=-
ge6              n= 20 mean=+0.0000 t=-0.1765..+0.1765 boot=-0.1500..+0.1500 wilcoxon_p=1.0000 verdict(+-3pt)=-

## paired diff layers - enigma (same seed; conf 0.975)
own_top1         n= 20 mean=-0.1420 t=-0.2395..-0.0445 boot=-0.2311..-0.0538 wilcoxon_p=0.0023 verdict(+-3pt)=lower
opp_top1         n= 20 mean=+0.0559 t=-0.0185..+0.1304 boot=-0.0155..+0.1193 wilcoxon_p=0.0484 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.1979 t=-0.3222..-0.0736 boot=-0.3110..-0.0864 wilcoxon_p=0.0010 verdict(+-3pt)=lower
flip_moves       n= 20 mean=-1.3500 t=-2.2017..-0.4983 boot=-2.1500..-0.6500 wilcoxon_p=0.0019 verdict(+-3pt)=-
win              n= 20 mean=+0.2500 t=-0.0493..+0.5493 boot=+0.0000..+0.5500 wilcoxon_p=0.0588 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.1128 t=-0.2602..+0.0345 boot=-0.2431..+0.0198 wilcoxon_p=0.1054 verdict(+-3pt)=-
ge6              n= 20 mean=+0.0000 t=-0.1765..+0.1765 boot=-0.1500..+0.1500 wilcoxon_p=1.0000 verdict(+-3pt)=-
