# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma                            20 11-5-4     [34.2,74.2]    92.7%   [89.5,95.7]    61.2%   31.6%   5.0%   0.0%   0.0% 0.33/0.51 0.20 0.50     +1.9    65  13.9%  0.33
layers                            20 16-0-4     [58.4,91.9]    66.6%   [62.7,70.5]    56.1%   10.5%  10.0%   0.0%   0.0% 0.13/0.33 0.00 0.00     +2.0    56  25.9%  0.35
open                              20 16-4-0     [58.4,91.9]    80.6%   [76.4,85.0]    55.5%   25.1%   0.0%   0.0%   0.0% 0.21/0.40 0.05 0.15     +2.6    56  28.2%  0.24

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma|strategy:human|B           10  6-3-1     [31.3,83.2]    95.8%   [93.3,98.2]    66.1%   29.6%   0.0%   0.0%   0.0% 0.37/0.57 0.10 0.20     +2.0    76  26.6%  0.26
enigma|strategy:human|W           10  5-2-3     [23.7,76.3]    89.7%   [84.7,94.7]    56.2%   33.5%  10.0%   0.0%   0.0% 0.29/0.45 0.30 0.80     +1.0    60  11.9%  0.47
layers|strategy:human|B           10  9-0-1     [59.6,98.2]    63.3%   [58.6,67.6]    55.6%    7.7%  10.0%   0.0%   0.0% 0.13/0.34 0.00 0.00     +2.8    58  24.8%  0.34
layers|strategy:human|W           10  7-0-3     [39.7,89.2]    69.8%   [64.0,75.5]    56.6%   13.3%  10.0%   0.0%   0.0% 0.14/0.33 0.00 0.00     +1.9    56  28.7%  0.37
open|strategy:human|B             10  7-3-0     [39.7,89.2]    85.1%   [80.2,90.2]    55.3%   29.8%   0.0%   0.0%   0.0% 0.21/0.39 0.00 0.20     +2.3    66  27.0%  0.23
open|strategy:human|W             10  9-1-0     [59.6,98.2]    76.1%   [70.5,82.0]    55.7%   20.5%   0.0%   0.0%   0.0% 0.20/0.40 0.10 0.10     +2.7    50  28.7%  0.25

## own top1 by bin (pooled)
enigma: all=92.9% gui_opening=100.0% gui_middle=88.6% gui_endgame=93.3% cal_opening=100.0% cal_middle=91.0% cal_endgame=92.0%
layers: all=66.8% gui_opening=57.3% gui_middle=74.3% gui_endgame=64.7% cal_opening=57.3% cal_middle=71.4% cal_endgame=65.2%
open: all=80.9% gui_opening=100.0% gui_middle=81.9% gui_endgame=71.4% cal_opening=100.0% cal_middle=79.4% cal_endgame=70.9%

## paired diff layers - open (same seed; conf 0.975)
own_top1         n= 20 mean=-0.1401 t=-0.2220..-0.0582 boot=-0.2145..-0.0696 wilcoxon_p=0.0007 verdict(+-3pt)=lower
opp_top1         n= 20 mean=+0.0061 t=-0.0683..+0.0805 boot=-0.0590..+0.0739 wilcoxon_p=0.8408 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.1462 t=-0.2321..-0.0603 boot=-0.2227..-0.0697 wilcoxon_p=0.0020 verdict(+-3pt)=lower
flip_moves       n= 20 mean=-0.1500 t=-0.3493..+0.0493 boot=-0.3500..+0.0000 wilcoxon_p=0.0833 verdict(+-3pt)=-
win              n= 20 mean=+0.0000 t=-0.3531..+0.3531 boot=-0.3000..+0.3000 wilcoxon_p=1.0000 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.0722 t=-0.1478..+0.0035 boot=-0.1425..-0.0101 wilcoxon_p=0.0172 verdict(+-3pt)=-
ge6              n= 20 mean=-0.0500 t=-0.1717..+0.0717 boot=-0.2000..+0.0000 wilcoxon_p=1.0000 verdict(+-3pt)=-

## paired diff layers - enigma (same seed; conf 0.975)
own_top1         n= 20 mean=-0.2613 t=-0.3254..-0.1972 boot=-0.3191..-0.2043 wilcoxon_p=0.0000 verdict(+-3pt)=lower
opp_top1         n= 20 mean=-0.0508 t=-0.1369..+0.0352 boot=-0.1295..+0.0248 wilcoxon_p=0.1893 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.2105 t=-0.2893..-0.1317 boot=-0.2775..-0.1357 wilcoxon_p=0.0000 verdict(+-3pt)=lower
flip_moves       n= 20 mean=-0.5000 t=-0.9501..-0.0499 boot=-0.9500..-0.1500 wilcoxon_p=0.0141 verdict(+-3pt)=-
win              n= 20 mean=+0.2500 t=-0.0975..+0.5975 boot=-0.0500..+0.5500 wilcoxon_p=0.0956 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.1987 t=-0.3025..-0.0948 boot=-0.2877..-0.1063 wilcoxon_p=0.0003 verdict(+-3pt)=-
ge6              n= 20 mean=-0.2000 t=-0.4847..+0.0847 boot=-0.5000..+0.0000 wilcoxon_p=0.1025 verdict(+-3pt)=-
